goos: linux
goarch: amd64
pkg: github.com/jacobmarble/go-checksum-benchmark
cpu: Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz
BenchmarkChecksums/sha384-8MBytes-32                  	     355	  33629841 ns/op	      48 B/op	       1 allocs/op
BenchmarkChecksums/sha512-8MBytes-32                  	     356	  33688986 ns/op	      64 B/op	       1 allocs/op
BenchmarkChecksums/sha3-224-8MBytes-32                	     375	  31840007 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-256-8MBytes-32                	     356	  33618452 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-384-8MBytes-32                	     272	  43751718 ns/op	     544 B/op	       3 allocs/op
BenchmarkChecksums/sha3-512-8MBytes-32                	     188	  62934776 ns/op	     576 B/op	       3 allocs/op
BenchmarkChecksums/sha512-224-8MBytes-32              	     356	  33604082 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha512-256-8MBytes-32              	     355	  33816730 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/adler32-8MBytes-32                 	    2784	   4296579 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-ieee-8MBytes-32              	    4225	   2807487 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-castagnoli-8MBytes-32        	   32202	    371051 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-koopman-8MBytes-32           	     560	  21374457 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc64-8MBytes-32                   	    1818	   6538959 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32-8MBytes-32                   	    1168	  10225312 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32a-8MBytes-32                  	    1170	  10227414 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64-8MBytes-32                   	    1166	  10235242 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64a-8MBytes-32                  	    1166	  10224341 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-8MBytes-32                    	   22347	    539577 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-128-8MBytes-32                	   22240	    537820 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-cespare-8MBytes-32          	   13840	    868042 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-32-8MBytes-32      	    4057	   2931064 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-64-8MBytes-32      	   10000	   1048951 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-32-8MBytes-32       	    5408	   2173095 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-64-8MBytes-32       	   10000	   1136438 ns/op	       8 B/op	       1 allocs/op
PASS
ok  	github.com/jacobmarble/go-checksum-benchmark	2151.232s
